ID;Date;OrderID;ItemID;Item name; Item price ;ItemCount;OrderReceivedTime;ActualPickupTime;ActualDeliveryTime;PromisedTime;DeliveryZip
1;06/01/20;100;2000;Makizushi; 15,99 ;2;06/01/20 09:00:00;06/01/20 09:30:00;06/01/20 10:15:00;06/01/20 10:00:00;94121
2;06/01/20;100;2001;Miso Soup; 18,99 ;1;06/01/20 09:00:00;06/01/20 09:30:00;06/01/20 10:15:00;06/01/20 10:00:00;94121
3;06/01/20;101;2002;Yakitori; 21,99 ;2;06/01/20 09:12:00;06/01/20 09:45:00;06/01/20 09:55:00;06/01/20 10:00:00;94120
4;06/01/20;101;2003;Tempura; 19,99 ;2;06/01/20 09:12:00;06/01/20 09:45:00;06/01/20 09:55:00;06/01/20 10:00:00;94120
5;06/01/20;101;2004;Ramen; 15,99 ;2;06/01/20 09:12:00;06/01/20 09:45:00;06/01/20 09:55:00;06/01/20 10:00:00;94120
6;06/01/20;102;2005;Sashimi; 15,99 ;1;06/01/20 09:18:00;06/01/20 09:45:00;06/01/20 10:00:00;06/01/20 10:00:00;94107
7;06/01/20;102;2006;Oden; 15,99 ;3;06/01/20 09:18:00;06/01/20 09:45:00;06/01/20 10:00:00;06/01/20 10:00:00;94107
8;06/01/20;102;2007;Soba; 25,99 ;2;06/01/20 09:18:00;06/01/20 09:45:00;06/01/20 10:00:00;06/01/20 10:00:00;94107
9;06/01/20;103;2008;Nato; 18,99 ;4;06/01/20 09:19:00;06/01/20 09:45:00;06/01/20 10:00:00;06/01/20 10:00:00;94146
10;06/01/20;103;2009;Udon; 15,99 ;2;06/01/20 09:19:00;06/01/20 09:45:00;06/01/20 10:00:00;06/01/20 10:00:00;94146
11;06/01/20;104;2010;Kaiseki; 17,99 ;5;06/01/20 09:23:00;06/01/20 10:00:00;06/01/20 10:20:00;06/01/20 10:15:00;94145
12;06/01/20;105;2011;Sukiyaki; 21,99 ;1;06/01/20 09:25:00;06/01/20 10:00:00;06/01/20 10:20:00;06/01/20 10:15:00;94146
13;06/01/20;105;2012;Curry Rice; 20,99 ;2;06/01/20 09:25:00;06/01/20 10:00:00;06/01/20 10:20:00;06/01/20 10:15:00;94146
14;06/01/20;105;2005;Sashimi; 15,99 ;2;06/01/20 09:25:00;06/01/20 10:00:00;06/01/20 10:20:00;06/01/20 10:15:00;94146
15;06/01/20;106;2002;Yakitori; 21,99 ;1;06/01/20 09:32:00;06/01/20 10:15:00;06/01/20 10:45:00;06/01/20 10:30:00;94143
16;06/01/20;106;2006;Oden; 15,99 ;3;06/01/20 09:32:00;06/01/20 10:15:00;06/01/20 10:45:00;06/01/20 10:30:00;94143
17;06/01/20;106;2001;Miso Soup; 18,99 ;1;06/01/20 09:32:00;06/01/20 10:15:00;06/01/20 10:45:00;06/01/20 10:30:00;94143
18;06/01/20;107;2004;Ramen; 15,99 ;2;06/01/20 14:35:00;06/01/20 15:15:00;06/01/20 15:45:00;06/01/20 15:30:00;94127
19;06/01/20;107;2006;Oden; 15,99 ;2;06/01/20 14:35:00;06/01/20 15:15:00;06/01/20 15:45:00;06/01/20 15:30:00;94127
20;06/01/20;108;2008;Nato; 18,99 ;4;06/01/20 15:45:00;06/01/20 16:15:00;06/01/20 16:50:00;06/01/20 16:45:00;94122
21;06/02/20;100;2000;Makizushi; 15,99 ;2;06/02/20 14:00:00;06/02/20 14:30:00;06/02/20 15:15:00;06/02/20 15:00:00;94121
22;06/02/20;100;2001;Miso Soup; 18,99 ;1;06/02/20 14:00:00;06/02/20 14:30:00;06/02/20 15:15:00;06/02/20 15:00:00;94121
23;06/02/20;101;2002;Yakitori; 21,99 ;2;06/02/20 14:12:00;06/02/20 14:45:00;06/02/20 14:55:00;06/02/20 15:00:00;94120
24;06/02/20;101;2003;Tempura; 19,99 ;2;06/02/20 14:12:00;06/02/20 14:45:00;06/02/20 14:55:00;06/02/20 15:00:00;94120
25;06/02/20;101;2004;Ramen; 15,99 ;2;06/02/20 14:12:00;06/02/20 14:45:00;06/02/20 14:55:00;06/02/20 15:00:00;94120
26;06/02/20;102;2005;Sashimi; 15,99 ;1;06/02/20 14:18:00;06/02/20 14:45:00;06/02/20 15:00:00;06/02/20 15:00:00;94107
27;06/02/20;102;2006;Oden; 15,99 ;3;06/02/20 14:18:00;06/02/20 14:45:00;06/02/20 15:00:00;06/02/20 15:00:00;94107
28;06/02/20;102;2007;Soba; 25,99 ;2;06/02/20 14:18:00;06/02/20 14:45:00;06/02/20 15:00:00;06/02/20 15:00:00;94107
29;06/02/20;103;2008;Nato; 18,99 ;4;06/02/20 14:19:00;06/02/20 14:45:00;06/02/20 15:00:00;06/02/20 15:00:00;94146
30;06/02/20;103;2009;Udon; 15,99 ;2;06/02/20 14:19:00;06/02/20 14:45:00;06/02/20 15:00:00;06/02/20 15:00:00;94146
31;06/02/20;104;2010;Kaiseki; 17,99 ;5;06/02/20 14:23:00;06/02/20 15:00:00;06/02/20 15:20:00;06/02/20 15:15:00;94145
32;06/02/20;105;2011;Sukiyaki; 21,99 ;1;06/02/20 14:25:00;06/02/20 15:00:00;06/02/20 15:20:00;06/02/20 15:15:00;94146
33;06/02/20;105;2012;Curry Rice; 20,99 ;2;06/02/20 14:25:00;06/02/20 15:00:00;06/02/20 15:20:00;06/02/20 15:15:00;94146
34;06/02/20;105;2005;Sashimi; 15,99 ;2;06/02/20 14:25:00;06/02/20 15:00:00;06/02/20 15:20:00;06/02/20 15:15:00;94146
35;06/02/20;106;2002;Yakitori; 21,99 ;1;06/02/20 14:32:00;06/02/20 15:15:00;06/02/20 15:45:00;06/02/20 15:30:00;94143
36;06/02/20;106;2006;Oden; 15,99 ;3;06/02/20 14:32:00;06/02/20 15:15:00;06/02/20 15:45:00;06/02/20 15:30:00;94143
37;06/02/20;106;2001;Miso Soup; 18,99 ;1;06/02/20 14:32:00;06/02/20 15:15:00;06/02/20 15:45:00;06/02/20 15:30:00;94143
38;06/02/20;107;2004;Ramen; 15,99 ;2;06/02/20 14:35:00;06/02/20 15:15:00;06/02/20 15:45:00;06/02/20 15:30:00;94127
39;06/02/20;107;2006;Oden; 15,99 ;2;06/02/20 14:35:00;06/02/20 15:15:00;06/02/20 15:45:00;06/02/20 15:30:00;94127
40;06/02/20;108;2008;Nato; 18,99 ;4;06/02/20 14:45:00;06/02/20 15:15:00;06/02/20 15:50:00;06/02/20 15:45:00;94122
41;06/03/20;100;2009;Udon; 15,99 ;2;06/03/20 17:19:00;06/03/20 17:45:00;06/03/20 18:00:00;06/03/20 18:00:00;94146
42;06/03/20;101;2010;Kaiseki; 17,99 ;5;06/03/20 17:23:00;06/03/20 18:00:00;06/03/20 18:20:00;06/03/20 18:15:00;94145
43;06/03/20;102;2011;Sukiyaki; 21,99 ;1;06/03/20 17:25:00;06/03/20 18:00:00;06/03/20 18:20:00;06/03/20 18:15:00;94146
44;06/03/20;102;2012;Curry Rice; 20,99 ;2;06/03/20 17:25:00;06/03/20 18:00:00;06/03/20 18:20:00;06/03/20 18:15:00;94146
45;06/03/20;102;2005;Sashimi; 15,99 ;2;06/03/20 17:25:00;06/03/20 18:00:00;06/03/20 18:20:00;06/03/20 18:15:00;94146
46;06/03/20;103;2002;Yakitori; 21,99 ;1;06/03/20 17:32:00;06/03/20 18:15:00;06/03/20 18:45:00;06/03/20 18:30:00;94143
47;06/03/20;103;2006;Oden; 15,99 ;3;06/03/20 17:32:00;06/03/20 18:15:00;06/03/20 18:45:00;06/03/20 18:30:00;94143
48;06/03/20;103;2001;Miso Soup; 18,99 ;1;06/03/20 17:32:00;06/03/20 18:15:00;06/03/20 18:45:00;06/03/20 18:30:00;94143
49;06/03/20;104;2004;Ramen; 15,99 ;2;06/03/20 17:35:00;06/03/20 18:15:00;06/03/20 18:45:00;06/03/20 18:30:00;94127
50;06/03/20;104;2006;Oden; 15,99 ;2;06/03/20 17:35:00;06/03/20 18:15:00;06/03/20 18:45:00;06/03/20 18:30:00;94127